Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
aph(3')-VI	100.00	780/780	100.0	1..780	573.24247.con.0077 type=contig length=1430	172..951	Amikacin	KC170992
aac(3)-IId	99.88	861/861	100.0	1..861	573.24247.con.0053 type=contig length=4392	430..1290	Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin	EU022314
aph(6)-Id	100.00	831/831	100.0	1..831	573.24247.con.0049 type=contig length=5366	2386..3216	Streptomycin	CP000971
aph(3'')-Ib	99.88	804/804	100.0	1..804	573.24247.con.0049 type=contig length=5366	3222..4025	Streptomycin	AF321551
armA	100.00	774/774	100.0	1..774	573.24247.con.0043 type=contig length=13155	3538..4311	Amikacin, Gentamicin, Tobramycin, Isepamicin, Netilmicin	AY220558
aadA2	100.00	792/792	100.0	1..792	573.24247.con.0065 type=contig length=2241	1272..2063	Spectinomycin, Streptomycin	JQ364967
aadA1	100.00	672/789	85.17110266159695	12..683	573.24247.con.0103 type=contig length=672	1..672	Spectinomycin, Streptomycin	JQ480156
aadA1	100.00	672/792	84.84848484848484	12..683	573.24247.con.0103 type=contig length=672	1..672	Spectinomycin, Streptomycin	JQ414041
ant(3'')-Ia	100.00	672/972	69.1358024691358	192..863	573.24247.con.0103 type=contig length=672	1..672	Streptomycin	X02340
aac(6')-Ib-cr	100.00	600/600	100.0	1..600	573.24247.con.0058 type=contig length=2438	1668..2267	Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin, Fluoroquinolone, Ciprofloxacin	DQ303918
blaCTX-M-15	100.00	876/876	100.0	1..876	573.24247.con.0054 type=contig length=3591	1609..2484	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	AY044436
blaNDM-1	100.00	813/813	100.0	1..813	573.24247.con.0046 type=contig length=9433	1475..2287	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ceftazidime+Avibactam, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam, Temocillin	FN396876
blaOXA-232	100.00	798/798	100.0	1..798	573.24247.con.0048 type=contig length=6215	4913..5710	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam	JX423831
blaOXA-9	100.00	825/825	100.0	1..825	573.24247.con.0076 type=contig length=1442	293..1117	Amoxicillin, Ampicillin	KQ089875
blaSHV-185	99.77	861/861	100.0	1..861	573.24247.con.0078 type=contig length=1331	212..1072	Unknown Beta-lactam	KM233164
blaSHV-11	99.77	861/861	100.0	1..861	573.24247.con.0078 type=contig length=1331	212..1072	Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin	X98101
blaSHV-70	99.77	861/861	100.0	1..861	573.24247.con.0078 type=contig length=1331	212..1072	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	DQ013287
blaSHV-69	99.77	861/861	100.0	1..861	573.24247.con.0078 type=contig length=1331	212..1072	Unknown Beta-lactam	DQ174308
blaSHV-31	99.77	861/861	100.0	1..861	573.24247.con.0078 type=contig length=1331	212..1072	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	AY277255
blaSHV-25	99.77	861/861	100.0	1..861	573.24247.con.0078 type=contig length=1331	212..1072	Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin	AF208796
